first_name,first_name,last_name,email,username,password,description,start_year,medical_center_name,avatar,department_name
Mai Văn,Mai Văn,Sỹ,bs.sys@example.com,bs.sy,123,"BS.CK2 Mai Văn Sỹ có hơn 20 năm kinh nghiệm trong lĩnh vực Nhãn khoa, chuyên điều trị các bệnh về võng mạc, thủy tinh thể và phẫu thuật khúc xạ.",1998,Bệnh viện Mắt TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756019467/MaleEyeDoctor_i9kbob.jpg,Nhãn khoa
Đoàn Hồng,Đoàn Hồng,Dung,bs.dungdh@example.com,bs.dungdh,123,BS.CK2 Đoàn Hồng Dung là chuyên gia hàng đầu về phẫu thuật Phaco và các bệnh lý đáy mắt. Bà hiện là Phó trưởng khoa Dịch kính võng mạc tại Bệnh viện Mắt TP.HCM.,2003,Bệnh viện Mắt TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756019468/FemalEyeDoctor_mc1exf.jpg,Nhãn khoa
Trần Hải,Trần Hải,Yến,bs.yenth@example.com,bs.yenth,123,"PGS.TS.BS Trần Hải Yến có nhiều công trình nghiên cứu khoa học giá trị, chuyên sâu về phẫu thuật khúc xạ bằng Laser và điều trị các tật khúc xạ phức tạp.",1995,Bệnh viện Mắt TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756019468/FemalEyeDoctor_mc1exf.jpg,Nhãn khoa
Châu Hữu,Châu Hữu,Hầu,bs.hauch@example.com,bs.hauch,123,TS.BS Châu Hữu Hầu chuyên về Nội soi Tiêu hóa và các bệnh lý Gan mật. Bác sĩ nổi tiếng với kỹ thuật chẩn đoán và can thiệp qua nội soi hiện đại.,2002,Bệnh viện Đại học Y Dược TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756032052/TH_Doctor_so7z3h.jpg,Tiêu hóa - Gan mật
Nguyễn Thị,Nguyễn Thị,Út,bs.utnt@example.com,bs.utnt,123,"PGS.TS.BS Nguyễn Thị Út là một trong những chuyên gia đầu ngành về Hô hấp tại Việt Nam, đặc biệt trong điều trị Hen suyễn và Bệnh phổi tắc nghẽn mạn tính (COPD).",1990,Bệnh viện Đại học Y Dược TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756037459/Lung_FemaleDoctor_ez9vox.jpg,Hô hấp
Vương Thị,Vương Thị,Ngọc Lan,bs.lanvtn@example.com,bs.lanvtn,123,"GS.TS.BS Vương Thị Ngọc Lan là chuyên gia hàng đầu trong lĩnh vực Hỗ trợ sinh sản (IVF) tại Việt Nam, giúp hàng ngàn cặp vợ chồng hiếm muộn có con.",1998,Bệnh viện Đại học Y Dược TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756033811/SPK_Doctor_hmrdsm.jpg,Sản phụ khoa
Nguyễn Phúc,Nguyễn Phúc,Cẩm Anh,bs.anhnpc@example.com,bs.anhnpc,123,"ThS.BS Nguyễn Phúc Cẩm Anh có hơn 15 năm kinh nghiệm trong lĩnh vực Da liễu - Thẩm mỹ da, chuyên điều trị các vấn đề về mụn, sẹo, nám và trẻ hóa da.",2008,Bệnh viện Đa khoa Tâm Anh TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756029286/SkinDoctor_xx8uer.jpg,Da liễu
Nguyễn Bá,Nguyễn Bá,Mỹ Nhi,bs.nhinb@example.com,bs.nhinb,123,"BS.CKII Nguyễn Bá Mỹ Nhi là Giám đốc Trung tâm Sản Phụ khoa, Bệnh viện Đa khoa Tâm Anh, với hơn 20 năm kinh nghiệm trong chẩn đoán tiền sản và điều trị các ca sản khó.",1999,Bệnh viện Đa khoa Tâm Anh TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756033811/SPK_Doctor_hmrdsm.jpg,Sản phụ khoa
Nguyễn Vĩnh,Nguyễn Vĩnh,Phước,bs.phuocnv@example.com,bs.phuocnv,123,"BS.CKII Nguyễn Vĩnh Phước là chuyên gia về Tiết niệu - Nam học, có nhiều kinh nghiệm trong điều trị các bệnh lý tuyến tiền liệt, sỏi tiết niệu và vô sinh nam.",2001,Bệnh viện Đa khoa Tâm Anh TP.Hồ Chí Minh,https://res.cloudinary.com/decumd3lu/image/upload/v1756021852/RHM_MaleDoctor_gyosj9.jpg,Răng - Hàm - Mặt
Trần Quang,Trần Quang,Bính,bs.binhtq@example.com,bs.binhtq,123,GS.TS.BS Trần Quang Bính là chuyên gia đầu ngành về bệnh Nhiệt đới và COVID-19. Ông nguyên là Trưởng khoa Bệnh Nhiệt đới Bệnh viện Chợ Rẫy.,1985,Bệnh viện Chợ Rẫy,https://res.cloudinary.com/decumd3lu/image/upload/v1756032052/TH_Doctor_so7z3h.jpg,Tiêu hóa - Gan mật
